(14300, 	13648)
(14200, 	60545)
(14600, 	60105)
(14300, 	94842)
(14300, 	29429)
(14300, 	48342)
(14200, 	10324)
(14300, 	34994)
(14200, 	63614)
(14300, 	85329)
(14300, 	26080)
(14200, 	63257)
(14200, 	95880)
(4100, 	29877)
(14800, 	69994)
(14200, 	34857)
(14300, 	47202)
(14100, 	50993)
(14300, 	95673)
(14200, 	55141)
(14200, 	2856)
(14200, 	63733)
(14200, 	62275)
(14200, 	29972)
(14400, 	8928)
(14200, 	12602)
(14300, 	94022)
(14100, 	55758)
(14200, 	3892)
(14300, 	12673)
(13900, 	73526)
(14400, 	86573)
(14100, 	8529)
(14500, 	63912)
(14200, 	57666)
(14400, 	4570)
(24700, 	97751)
(14600, 	49025)
(14300, 	42943)
(14300, 	42095)
(14600, 	50839)
(14500, 	4353)
(14500, 	90081)
(14400, 	23455)
(14500, 	85516)
(14300, 	17975)
(14300, 	75443)
(14400, 	93338)
(14200, 	20003)
(14400, 	11191)
(14300, 	64690)
(14300, 	28673)
(21300, 	48490)
(14900, 	4353)
(14300, 	47504)
(14300, 	20893)
(14300, 	60213)
(14200, 	80424)
(14200, 	64690)
(14200, 	128)
(14300, 	5403)
(14300, 	50681)
(21300, 	67192)
(14500, 	26080)
(14500, 	38304)
(14300, 	86498)
(14400, 	62353)
(14200, 	40898)
(21300, 	37110)
(14300, 	61822)
(14300, 	7942)
(14300, 	26574)
(14400, 	80038)
(14200, 	37110)
(14200, 	62275)
(14200, 	8889)
(14300, 	90935)
(14300, 	47902)
(14200, 	2535)
(14000, 	2856)
(14500, 	85516)
(14200, 	21263)
(14300, 	73932)
(14300, 	89786)
(23800, 	47825)
(15000, 	24039)
(14500, 	63981)
(14600, 	12673)
(14300, 	89092)
(14400, 	74661)
(14400, 	11619)
(14500, 	84539)
(14300, 	64690)
(14300, 	12602)
(13500, 	76157)
(14200, 	53294)
(14100, 	19681)
(14000, 	38304)
(13700, 	73750)
(14000, 	71477)
(14100, 	3717)
(20800, 	54524)
(14300, 	74982)
(14600, 	16701)
(14400, 	50681)
(14200, 	72906)
(14100, 	46622)
(14200, 	53829)
(14400, 	41055)
(14100, 	16747)
(14300, 	74531)
(14200, 	41275)
(14300, 	27762)
(14200, 	36793)
(14200, 	43534)
(14300, 	97803)
(14100, 	88767)
(14200, 	94420)
(20100, 	19646)
(14600, 	4178)
(14300, 	21920)
(15400, 	2856)
(14700, 	81958)
(14500, 	32534)
(14300, 	26141)
(14200, 	84768)
(14100, 	7992)
(14400, 	26800)
(14400, 	64163)
(14500, 	58200)
(13900, 	58390)
(14300, 	11824)
(23600, 	80406)
(14300, 	61822)
(14500, 	84307)
(14200, 	43679)
(14300, 	45319)
(13600, 	31207)
(14200, 	38764)
(14200, 	11018)
(14200, 	53339)
(14200, 	21263)
(14800, 	73750)
(14300, 	19224)
(14300, 	84768)
(14100, 	59018)
(14200, 	64157)
(22500, 	18160)
(15700, 	72655)
(13900, 	40382)
(14100, 	4825)
(14400, 	1107)
(13900, 	61950)
(14400, 	89014)
(13900, 	63257)
(13900, 	15064)
(14000, 	69953)
(14200, 	80389)
(14000, 	11792)
(13900, 	62116)
(14100, 	77810)
(14600, 	43873)
(14300, 	14558)
(14300, 	53874)
(22300, 	16523)
(14400, 	26080)
(15200, 	5915)
